tweet,label,label_id
ini wiken loh,neutral,3
asuh opung ini tolong hargain ya pung tidak semua orang suka dengan postingan opung ini kara ini sumpah enak banget,anger,0
woilah pagi pagi bikin emosi anjir,anger,0
yang suka makan sirip hiu tenggelamkan tidak bu username masa ikan segede metromini cuma dimamam siripnya doang makan bodynya juga dong,anger,0
jangan begitu dong bang jadi sedih nih,sad,2
harganya tapi bahannya entar ku cek-cek,neutral,3
ih masa akak,neutral,3
apapun selain romance senang tapi kalau horror jangan yang hantu mun takut sama hantu,fear,1
saya hidup dizaman presiden hebat yaitu soeharto beliau buat aman dan tenang untuk masyarakat tetapi tidak tenang untuk kaum pki kaum rampok kaum bandit kaum yang ingin jadi pejabat negara tapi otaknya kosong hanya kaum itulah yang tidak suka bapak soeharto url,anger,0
kenapa nak hasut orang tak vaksin pastu bangga sangat bila orang vaksin takut nak cerita side effect kat dia,fear,1
sedih belum dikabarin sama ayangk,sad,2
pantas emiss cari kemana mana ternyata disini ya selamat datang cantik bagaimana hari harinya setelah memilih jurusan semoga malamnya menyenangkan ya,happy,4
terus suatu ketika teman bilang youngk dan day6 saat day6 sih tapi membernya enggak kecuali sih jae youngk didengarkan lah day6 you were beautiful dan diracuni youngk eh tapi malah,neutral,3
sangat tolol bbm langka beras mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar 2006 sampai 2011,anger,0
username selamat malam seyogyanya jalur sepeda hanya untuk sepeda dan trotoar untuk pejalan kaki sesuai dengan uu no 22 2009 parkir sembarangan adlah tindakan pura-pura tidak tahu saya yakin manajemen username tahu uu tersebut username,anger,0
username selalu sinis dan menegur kumpulan bapak bapak di kelas doktoral saya kalau sudah jokes sexual yang mengarah harassment orang abuse really enggak ada korelasi deh sekolah tinggi sama perilaku ini,anger,0
baru mendengarkan dengan seksama lagu nge hits di tik tok aisyah jatuh cinta pada jamila benar begitu ets jangan lupa dua jari dua jari empat jari,happy,4
kaget lihatnya,fear,1
tapi mpmhondajatim username username di bisa terlaksana tanpa kurang satu apapun url,happy,4
pengajian yang ustadznya provokator dan mulut jamban wajib dibubarkan,anger,0
5 6 aakkkk benci kalo pulau2 kecil enggak paham,anger,0
breadtalknya teman enggak rasanya wkwk cust,neutral,3
semoga bapaknya i hope there is a news for them temannya snder kalo orang kamu masih hal menanti terus kita berjuang semangaat,neutral,3
sedih juga kak bangun bangun di kolong jembatan enggak tau harus kemana,sad,2
poin ke 3 tolol banget anjir astagfirullah,anger,0
kalo enggak gandengan tangan meriang tiap hangout di public place saja lengket ngt bagaimana kalo pas lagi qtime berdua di private place begitu duh terima kasih sudah bikin makin menghalu dan btw di yang kedua tuh seohyun sempat ragu harus pakai cincin pernikahannya apa enggak,fear,1
semangat ya jangan mau dijadikan mainan,happy,4
bila belum memiliki materi sedihlah jika belum,neutral,3
ngeri ngeri sedep,fear,1
ketika saat ada seorang cowok mulai sering menelponmu atau bahkan datang kerumah untuk menemuimu papa akan memasang wajah paling cool sedunia papa sesekali menguping atau mengintip saat kamu sedang mengobrol berdua diruang tamu,fear,1
bego banget kenapa maksa ya,anger,0
pak raimu din a,neutral,3
numpang kira-kira bakso lahirannya cesar sih,neutral,3
1 dari dulu hingga sekarang sebagaimana biasanya berlangsung setiap kali memasuki bulan ramadan kegiatan pariwisata di indonesia terasa agak lesu,sad,2
kakak di anggap nya pwettyy koo nya begitu pwetty,neutral,3
dengan orang selalu berwajah di hadapan kawan kawannya hari dailami,neutral,3
selama perintah suami tidak melanggar syariat hormat tapi enggak tolol makanya islam buat orang yang mau berpikir,anger,0
malah ke kirim yang ini jancuks bau bakal marah senang,anger,0
