tweet,label,label_id,jumlah_kata,panjang_karakter
pagi pagi sudah di buat emosi,anger,0,6,29
kok stabilitas negara memange tahun negara tidak aman bahkan surabaya menyuburkan ormas ormas radikal intoleran teroris yang berafiliasi ke partai tertentunarasi intelektual tapi bodoh,anger,0,24,184
sudah lah emosi terus lihat manchester united,anger,0,7,45
aib bodoh benar sebelum kata aib itu muncul terlebih dahulu sudah ada tindakan yakni kekejian jangan kamu sembunyikan caramu menelaah masalah semisal anak perempuanmu ditempeleng apa kamu juga setuju untuk dia bersikap bungkam melapor polisi adalah benar lantas apa bedanya,anger,0,40,273
dih kamu yang menyebalkan bodoh,anger,0,5,31
asli malu maluin orang indonesia tolol yang reply latah cilukba pakai huruf hijaiyah sama sama ganti huruf pakai salib ada tiktok filipin lewat saya dan repnya semua dasar goblogg trend tiktok ter tolol,anger,0,33,202
drama abang tolol,anger,0,3,17
masih emosi sih sama katla kemarin mana keterangannya begini saja hasil mengaci kesal,anger,0,13,85
bangsat tribute no1 bencana no2 mau mengalahkan ini kayaknya,anger,0,9,60
ingin pergi jauh terus teriak sambil menangis sekencang kencangnya nanti balik kalau saya sudah lupa segalanya kan tolol mustahil sekali,anger,0,20,136
iya allah mau marah tapi bagaimana iya,anger,0,7,38
silibus kita memang banget gila babi bodoh yang buat silibus ini learning should be fun,anger,0,15,87
pagipagi dikerjain orang tertawa dikira saya bodoh iya saya meladeni lah lihat sampai manaa,anger,0,14,91
angka covid lagi naik kalau masih dilanjut event offlinenya asli bodoh sih ini brand,anger,0,14,84
bukan lebih ke sangar sih kalau menurutku goblokk bin tolol di mengingatkan untuk kebaikan bahkan acuh,anger,0,16,102
mas ngelonte dulu mas biar otaknya jadi segar lagi bagi orang kafir seperti kamu ngewe dengan lonte ibadah yang utama punya tolol kok kebangetan sekali sih,anger,0,26,155
marah saya,anger,0,2,10
tolol sekali mana ada bercinta yang ada mimpi di kejar kejar setan semalam asu bocil ini yang iya iya saja kalau bicara,anger,0,22,119
izinin suami poligami buat menghindari zina tertawa sekali heh memangnya nabi saya poligami gara gara mata keranjang terus sangean terus ada niatan zina tapi biar tidak zina jadi dinikahin ngelirik cewek sambil nyebarin ajaran agama begitu tolol belajar agama lagi sana,anger,0,41,269
saya nyerah joki saja kali iya tugas poem iya allah kenapa saya bodoh inggris,anger,0,14,77
hah mirip dendam bnaget sama ibu,anger,0,6,32
huahh benci covid sekali semoga berhenti di jimin tidak ada jungkook dan juga taehyung no god pliss,anger,0,17,99
benci sekali sama diri sendiri gampang menangis kalau mengobrol sama orang tua,anger,0,12,78
ini geng patutle libtard gay bodoh kotoran,anger,0,7,42
iya ini kan suka memancing emosi penonton,anger,0,7,41
sei ini iya saya baru bangun tidur sudah bikin emosi saja,anger,0,11,57
mau marah sekali kenapa orang orang jahat sekali sih,anger,0,9,52
kadang suka emosi baca beginian tapi orang goblog memang susah kalau diajak mengobrol,anger,0,13,85
sih mutajir mancing emosi sih pagi pagi,anger,0,7,39
sudah saya baca panjangpanjang mengira analisisnya bakal boom ternyta hanya hasil pikiran otak pendek tolol,anger,0,15,107
emosi bung,anger,0,2,10
pun kene marah tidak capai kpi ke,anger,0,7,33
opini kamu jelek saudara laki-laki menutup keburukan dengan agama kamu benarkan poligami untuk menghindari zina tolol palkon banyak banyak bicara tentang agama iya begini,anger,0,24,170
kapan iya manajemen di diubah biar tidak lempar lemparan begini anjimm orang ke tuh butuh penanganan cepat bukan bolak balik ribet emosi kan saya anjing,anger,0,25,152
dari turunkan ayam kupang baik buat polisi majukan industri sumber makanan negara kita negara tropika kot apa jadah harap makanan ternakan import bodoh sangat ke orang malaysia sampai dedak ayam pun tidak boleh buat sendiri,anger,0,35,223
unesco orang arab hahaa kata yang benci anis,anger,0,8,44
satu kata jangan mengundi sebab semua bodoh,anger,0,7,43
diam adalah jawaban terbaik untuk menghadapi orang bodoh,anger,0,8,56
sangat tolol langkaberas mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar sampai,anger,0,15,103
bangsat ini akun saya di hack kah,anger,0,7,33
lah kakak saya yang umur harus panggil saya yang umur apa anjing kalau bukan adik oh saya anak tunggal ada anak perempuan satu lagi punya ayah ibu saya begitu tolol ih,anger,0,31,167
ini betul betul punya marah,anger,0,5,27
ternyata ada yang lebih bodoh dari saya jauh bahkan,anger,0,9,51
harus iya dihukum mati itu bangsat rusak nama sumut karena dia,anger,0,11,62
siapa lagi yang harus saya benci,anger,0,6,32
tahan saya tidak kuat sekali bangsat,anger,0,6,36
sumpah saya emosi sekali iya,anger,0,5,28
yang dinamakan orang prik bin tolol,anger,0,6,35
ini faisal basri tidak lagi kena stroke kan atau tiba tiba mental retarded ciri khas jokowi ketukar sama surabaya pak faisal jangan bangsat drun,anger,0,24,144
dipta kamu jangan bodoh bisa tidak,anger,0,6,34
iya anjrott jangan jangan dia punya dendam sama saya iya,anger,0,10,56
apa bedanya coba awal chat huruf kapital apa tidak sahabat kamu kok tolol,anger,0,13,73
bangsat memang kamu sudah,anger,0,4,25
saya bisa masak saya ini sudah ada bekal untuk main benda tajam dan minyak panas jadi tolong hargai saya dan jangan bikin saya marah,anger,0,24,132
bodoh iya begi diba astaga,anger,0,5,26
saya baik tapi saya tidak tolol semoga orang tua saya sehat terus lancar rezeki biar tidak perlu saya ngandelin saudara mirip anjing,anger,0,22,132
bangsat,anger,0,1,7
eh kamu tidak pernah merancang kejatuhan orang kamu benci dengan perempuan lain kah,anger,0,13,83
hah bodoh kali kamu pantek,anger,0,5,26
emosi selalu nanti jadi burag loh,anger,0,6,33
iya kan tidak merasa capai hanya larinya jadi lambat sekali emosi saya,anger,0,12,70
shipper sebelah kalau tidak suka sama noren tidak perlu mampir sudah tahu benci sama noren bahkan baca au iya kocak sekali kamu,anger,0,22,127
tidak sempat lah ini anak balas dendam minggu depan mesti sakit sudah hilang time itu,anger,0,15,85
islamofobisbuzzerp yaitu para njing sepilis dan komunis pelaku maksiat yang ingin mencari pembenaran atas kelakuannya para bbi kafir pecundang debat teologis secara akademis yang ingin melampiaskan dendam kekalahannya,anger,0,28,217
iya juwi emosi ini saya pagi pagi,anger,0,7,33
saya benci kata jenuh,anger,0,4,21
saya benci sekolah,anger,0,3,18
